id,Name,Type,Description,Image,Price,Link,Tags,Liked
31,Zero Waste Starter Kit: The Works,Household,"Everything you could possibly need for going down the path to zero-waste is right here. Utensils and straws you can use instead of plastic. A reusable non-plastic water bottle. A net bag for your produce at the store. Bamboo toothbrushes. Beeswax food wraps for your perishables. This is particularly useful if you know someone who wants to be more sustainable, but has no idea where to start.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1606928442-1574369438-zero-waste-the-works-kit-ep-900x-1574369417.jpg?crop=1xw:1xh;center,top&resize=480:*",149,https://packagefreeshop.com/collections/zero-waste-kits-1/products/zero-waste-starter-kit-the-works,"Women, Men",FALSE
32,ALVABABY Baby Cloth Diapers,Fashion,"All aboard the struggle bus! You don’t have to be a new mom to know that babies go through a sh*tload of diapers. And as you know, diapers cannot be recycled… for obvious reasons. BUT, that’s where these reusable cloth diapers (pack of six) come in. Not only are they perfect for the cutie patootie in your life but just think how convenient they’ll be when out and about. Word on the street is that these modern cloth nappies are SUPER absorbent and comfortable for baby. They’re one-size-fits-all—simply adjust the diaper by snapping on the buttons for a precise fit. Says this mama, “All right, so I have been using cloth diapers since my son was born coming up on a year. I used newborn diapers for the first 2 months (Alva and Kawaii) and then I started using these. These were actually the very first pocket cloth diapers I ever got. These ended up being my favorite. They fit the best, I love the solid colors, and they are easy to customize.”",https://www.scarymommy.com/wp-content/uploads/2020/02/best-eco-friendly-gifts-baby-cloth-diapers.jpg,40,https://www.amazon.com/gp/product/B00C7JW3GQ/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00C7JW3GQ&linkCode=as2&tag=sm-ecofriendlygifts-20&linkId=585be719be83f135bbe715d862ff26b0,Babies,FALSE
33,Ethique Eco-Friendly Gingersnap Face Scrub,Care,"You can't get much more natural than this, and who doesn't need/want/love a good face scrub? It only has 11 ingredients, including brown sugar and vanilla, and it's totally plant-based, plastic-free, and vegan. Even your strictest, most ethically minded friend will love it.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1606927692-screen-shot-2020-12-02-at-8-47-23-am-1606927686.png?crop=1xw:1xh;center,top&resize=480:*",17,https://www.target.com/p/ethique-eco-friendly-gingersnap-face-scrub-3-53oz/-/A-76439820,"Women, Men",FALSE
34,Harris,Fashion,"Warby Parker isn't just the biggest glasses trend (I have two pairs and counting)—they also use cellulose acetate, a renewable, plant-based material, to make many of their frames. They practice responsible sourcing and transparency, and they're a carbon-neutral company. Warby Parker also has a Buy a Pair, Give a Pair program to help those who need glasses but can't afford it. Plus, their styles are stylish and fun on top of all that, like these tortoise sunnies.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1574367412-screen-shot-2019-11-21-at-3-09-36-pm-1574367300.png?crop=0.9997503121098628xw:1xh;center,top&resize=480:*",95,https://go.redirectingat.com/?id=74968X1525081&xs=1&url=https%3A%2F%2Fwww.warbyparker.com%2Fsunglasses%2Fmen%2Fharris%2Foak-barrel&sref=https%3A%2F%2Fwww.marieclaire.com%2Ffashion%2Fg29873544%2Fsustainable-gifts%2F&xcust=%5Butm_source%7C%5Butm_campaign%7C%5Butm_medium%7C%5Bgclid%7C%5Bmsclkid%7C%5Bfbclid%7C%5Brefdomain%7Cgoogle.com%5Bcontent_id%7Cf7e9c672-61e0-4f4a-b8da-66868392c5fc%5Bcontent_product_id%7C951cf104-2c96-4e5e-b796-6eefdc062e08%5Bproduct_retailer_id%7C0f2bc96c-ba7b-4048-b27e-54108085c49e,"Women, Men",FALSE
35,Merkato Signature Tote,Fashion,"Parker Clay is founded by a husband and wife duo that moved to Addis Ababa after adopting two Ethiopian girls. There, they saw the prevalence of human trafficking and prostitution amongst women, and launched this brand to create job opportunities and help them financially.  The leather is sourced from tanneries that recycle all the water used during the process and is dyed with all-natural, organic, vegetable-based dyes. Truly a purchase you can feel good about—and it's monogrammable. ","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1606928137-parker-clay-product-ecomm29183-226053dd-2c60-4113-ac07-710572f3db83-2048x-1606928130.jpg?crop=1xw:0.9997814685314685xh;center,top&resize=480:*",188,https://www.parkerclay.com/products/merkato-signature-tote?variant=34762953350,Women,FALSE
36,Comfort Stretch Ultra High Rise Stove Pipe,Fashion,"Re/Done has a cool, creative solution to the denim problem in the fashion industry (which normally wastes a ton of water and uses harmful chemicals). Instead, Re/Done takes worn old jeans, deconstructs them, and uses the fabric to create new jeans. It's luxury fashion that's also sustainable. Their jeans include straight, flare, and even trendier trouser styles that'll still be totally wearable years down the road. Think of sustainable shopping as creating a really great long-term capsule wardrobe—and this as a perfect piece. ","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1594670073-screen-shot-2020-07-13-at-3-54-02-pm-1594670057.png?crop=0.8586883029073699xw:1xh;center,top&resize=480:*",265,https://shopredone.com/collections/straight-leg/products/ultra-high-rise-stove-pipe-vintage-indigo-destroy?variant=22775880745018,Women,FALSE
37,Planter,Household,"This could not be an easier plant to grow, even if you kill every green thing you touch, like myself. This planter can be hung from the ceiling or placed on a flat surface for a bright and modern addition to home decor. The planter doesn't include the air plant itself, but you can get one from the store—the plants get most of their nutrients from the air and are incredibly low-maintenance for when your gift recipient inevitably forgets to water them. ","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1607113342-the-planter-by-handmade-sammade-3-1607113334.jpg?crop=0.834xw:1.00xh;0.0459xw,0&resize=480:*",40,https://www.hemleva.com/himmeli/planter,"Women, Men",FALSE
38,Wireless Nimble for Good Travel Kit,Tech,"A charger made from plants? Who knew technology could be made from recycled bottles and plant-based bioplastics? So friggin’ cool! Nimble for Good makes wireless and portable chargers out of a mixture of recycled plastic bottles and hemp, so their products are totally eco-friendly and sustainable. The wireless travel kit includes a wireless pad and dual USB wall charger to charge two devices quickly and for longevity. It has built in cable management, so everything can be stored away in one compact box (just 4.41″ x 3.03″ x 0.6″), and it comes in plastic-free packaging. It’s compatible with newer iPhones, Samsungs, Androids, AirPods, and the Google Pixel 3. One happy customer says, “I love that this charging device is environmentally conscious and it meets all of my gadget obsessed needs doing so. I love the simple unique style and outstanding functionality. Nimble please keep up the outstanding work and the products coming.”",https://www.scarymommy.com/wp-content/uploads/2019/10/nimble-for-good-wireless-travel-kit-eco-friendly-gift-guide.png,80,https://fave.co/39y1Gsf,"Women, Men, Teens",FALSE
39,Little Sun Diamond,Tech,"This pretty little light has big implications. It's solar-powered so it saves power, plus for every one sold, another is made available at a locally affordable price to an African community with limited access to electricity. Little Sun Diamond gives five hours of bright light for a five-hour charge and can be used with its stand or worn around the neck with the accompanying lanyard.",https://i.pcmag.com/imagery/lineupitems/02mUfNFcz6AULevxSG1NoLG.1576114748.fit_lim.size_800x440.jpg,30,https://www.pcmag.com/v1/otc/01r1WRIAJykbQgN4oGQ8FSi?merchant=00gffoXsjMoGlGuYQLOb16Z&url=https%3A%2F%2Flittlesun.com%2Fproduct%2Flittle-sun-diamond%2F&t=lineup-page&m=lineup-cards&e=lineup-card&i=buy-button&p=1&el=%2430.00+at+Little+Sun+See+it&u=https%3A%2F%2Fwww.pcmag.com%2Fnews%2Fthe-best-eco-friendly-tech-gifts&cd2=Story+Slideshow&cd61=App%5CModels%5CLineupItem&cd62=02mUfNFcz6AULevxSG1NoLG&cd63=02YyP1oZHLYwnTMmpBHZIhy,"Women, Men, Teens",FALSE
40,Dyson Lightcycle Task Lamp,Tech,"The Dyson Lightcycle adjusts its glow to the room around it and whether or not anyone is present, ensuring that it's not wasting energy.",https://i.pcmag.com/imagery/lineupitems/0777GtwLzjNiD5Ub8L4wOPf.1576114749.fit_lim.size_800x440.jpg,600,https://www.pcmag.com/v1/otc/01r1WRIAJykbQgN4oGQ8FSi?merchant=07ceq7iAfFfRlRYt8DCvPYM&url=https%3A%2F%2Fwww.bestbuy.com%2Fsite%2Fdyson-lightcycle-desk-task-light-white-silver%2F6333976.p%3FskuId%3D6333976&t=lineup-page&m=lineup-cards&e=lineup-card&i=buy-button&p=2&el=%24599.99+at+Best+Buy+See+it&u=https%3A%2F%2Fwww.pcmag.com%2Fnews%2Fthe-best-eco-friendly-tech-gifts&cd2=Story+Slideshow&cd61=App%5CModels%5CLineupItem&cd62=0777GtwLzjNiD5Ub8L4wOPf&cd63=01I8ghCipLI54szCgUXFF4B,"Women, Men, Teens",FALSE
